Processing audios/0.wav
ASR Result:   | Latency:  0.08017325401306152
ASR Result:   | Latency:  0.08456158638000488
ASR Result:   | Latency:  0.11489439010620117
ASR Result: well  | Latency:  0.10503172874450684
ASR Result: well they laid  | Latency:  0.08150315284729004
ASR Result: well they laid  | Latency:  0.09630894660949707
ASR Result: well they laid off  | Latency:  0.10536956787109375
ASR Result: well they laid off nur  | Latency:  0.10208964347839355
ASR Result: well they laid off nurses  | Latency:  0.08145403861999512
ASR Result: well they laid off nurses is  | Latency:  0.08045578002929688
ASR Result: well they laid off nurses is what they  | Latency:  0.11082792282104492
ASR Result: well they laid off nurses is what they did  | Latency:  0.10006523132324219
ASR Result: well they laid off nurses is what they did  | Latency:  0.0832517147064209
ASR Result: well they laid off nurses is what they did  | Latency:  0.0812373161315918
ASR Result: well they laid off nurses is what they did  | Latency:  0.08206915855407715
ASR Result: well they laid off nurses is what they did you know  | Latency:  0.08176064491271973
ASR Result: well they laid off nurses is what they did you know  | Latency:  0.08198857307434082
ASR Result: well they laid off nurses is what they did you know  | Latency:  0.08252263069152832
ASR Result: well they laid off nurses is what they did you know everybody  | Latency:  0.10235595703125
ASR Result: well they laid off nurses is what they did you know everybody else  | Latency:  0.08058428764343262
ASR Result: well they laid off nurses is what they did you know everybody else  | Latency:  0.07815146446228027
ASR Result: well they laid off nurses is what they did you know everybody else  | Latency:  0.08989787101745605
ASR Result: well they laid off nurses is what they did you know everybody else got  | Latency:  0.10616707801818848
ASR Result: well they laid off nurses is what they did you know everybody else got  | Latency:  0.12711858749389648
ASR Result: well they laid off nurses is what they did you know everybody else got  | Latency:  0.09781980514526367
ASR Result: well they laid off nurses is what they did you know everybody else got  | Latency:  0.0874321460723877
ASR Result: well they laid off nurses is what they did you know everybody else got was  | Latency:  0.16725516319274902
ASR Result: well they laid off nurses is what they did you know everybody else got was  | Latency:  0.07744908332824707
ASR Result: well they laid off nurses is what they did you know everybody else got was uh  | Latency:  0.08906769752502441
ASR Result: well they laid off nurses is what they did you know everybody else got was uh  | Latency:  0.08445429801940918
ASR Result: well they laid off nurses is what they did you know everybody else got was uh  | Latency:  0.10344624519348145
ASR Result: well they laid off nurses is what they did you know everybody else got was uh  | Latency:  0.10677719116210938
ASR Result: well they laid off nurses is what they did you know everybody else got was uh full  | Latency:  0.08574342727661133
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully  | Latency:  0.09940218925476074
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected  | Latency:  0.14822697639465332
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but  | Latency:  0.15996289253234863
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but  | Latency:  0.18404388427734375
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but  | Latency:  0.18195605278015137
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot  | Latency:  0.1644129753112793
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of  | Latency:  0.15132498741149902
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurs  | Latency:  0.14729046821594238
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses  | Latency:  0.1408846378326416
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking  | Latency:  0.1445479393005371
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the  | Latency:  0.17711806297302246
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits  | Latency:  0.16010189056396484
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now  | Latency:  0.14865565299987793
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so  | Latency:  0.18344998359680176
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so  | Latency:  0.14563822746276855
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so  | Latency:  0.13878631591796875
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so  | Latency:  0.14120888710021973
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so  | Latency:  0.13034391403198242
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so should  | Latency:  0.16884922981262207
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so should be  | Latency:  0.13709521293640137
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so should be interesting  | Latency:  0.10603022575378418
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so should be interesting  | Latency:  0.11736130714416504
ASR Result: well they laid off nurses is what they did you know everybody else got was uh fully protected but a lot of nurses are taking the hits now so should be interesting  | Latency:  0.10901331901550293
Sending EOS
ASR Result: END_OF_STREAM  | Latency:  0.11266326904296875
Avg latency: 0.11609919447647898
Processing audios/3.wav
ASR Result:   | Latency:  0.09647440910339355
ASR Result:   | Latency:  0.10762190818786621
ASR Result:   | Latency:  0.1036829948425293
ASR Result:   | Latency:  0.10515356063842773
ASR Result:   | Latency:  0.13599944114685059
ASR Result:   | Latency:  0.11868739128112793
ASR Result: like  | Latency:  0.10540413856506348
ASR Result: like bas  | Latency:  0.10618805885314941
