Processing audios/5.wav
ASR Result:   | Latency:  0.18603205680847168
ASR Result:   | Latency:  0.20445847511291504
ASR Result:   | Latency:  0.10998368263244629
ASR Result: i know  | Latency:  0.11361527442932129
ASR Result: i know i have  | Latency:  0.12405872344970703
ASR Result: i know i have a  | Latency:  0.12530970573425293
ASR Result: i know i have a friend  | Latency:  0.1472454071044922
ASR Result: i know i have a friend who  | Latency:  0.1605074405670166
ASR Result: i know i have a friend who  | Latency:  0.18061304092407227
ASR Result: i know i have a friend who who  | Latency:  0.19747328758239746
ASR Result: i know i have a friend who who lives  | Latency:  0.11276721954345703
ASR Result: i know i have a friend who who lives in  | Latency:  0.14198637008666992
ASR Result: i know i have a friend who who lives in michigan  | Latency:  0.1661522388458252
ASR Result: i know i have a friend who who lives in michigan  | Latency:  0.19560790061950684
ASR Result: i know i have a friend who who lives in michigan  | Latency:  0.1075892448425293
ASR Result: i know i have a friend who who lives in michigan  | Latency:  0.16636276245117188
ASR Result: i know i have a friend who who lives in michigan up  | Latency:  0.20941734313964844
ASR Result: i know i have a friend who who lives in michigan up  | Latency:  0.12036442756652832
ASR Result: i know i have a friend who who lives in michigan up until  | Latency:  0.16188311576843262
ASR Result: i know i have a friend who who lives in michigan up until she  | Latency:  0.2148127555847168
ASR Result: i know i have a friend who who lives in michigan up until she was  | Latency:  0.12864971160888672
ASR Result: i know i have a friend who who lives in michigan up until she was in  | Latency:  0.16847920417785645
ASR Result: i know i have a friend who who lives in michigan up until she was in high school  | Latency:  0.22119998931884766
ASR Result: i know i have a friend who who lives in michigan up until she was in high school  | Latency:  0.12536191940307617
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so  | Latency:  0.17877793312072754
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so  | Latency:  0.2086808681488037
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so  | Latency:  0.11389827728271484
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so  | Latency:  0.15003538131713867
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so  | Latency:  0.18317270278930664
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah  | Latency:  0.21471691131591797
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah  | Latency:  0.11153650283813477
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah  | Latency:  0.13708806037902832
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah  | Latency:  0.16651678085327148
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah she  | Latency:  0.21288752555847168
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah she loved  | Latency:  0.1131889820098877
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah she loved it  | Latency:  0.1293354034423828
ASR Result: i know i have a friend who who lives in michigan up until she was in high school so yeah she loved it there  | Latency:  0.1825730800628662
Sending EOS
ASR Result: END_OF_STREAM  | Latency:  0.19189834594726562
Avg latency: 0.16011152769389905
