Processing audios/1.wav
ASR Result:   | Latency:  0.09737515449523926
ASR Result:   | Latency:  0.15246248245239258
ASR Result: so  | Latency:  0.21064376831054688
ASR Result: so  | Latency:  0.15282392501831055
ASR Result: so  | Latency:  0.19095301628112793
ASR Result: so and  | Latency:  0.2272167205810547
ASR Result: so and  | Latency:  0.14840245246887207
ASR Result: so and  | Latency:  0.20839762687683105
ASR Result: so and  | Latency:  0.14358735084533691
ASR Result: so and and  | Latency:  0.21360254287719727
ASR Result: so and and  | Latency:  0.15764069557189941
ASR Result: so and and uh  | Latency:  0.2212817668914795
ASR Result: so and and uh  | Latency:  0.13870453834533691
ASR Result: so and and uh i  | Latency:  0.18378138542175293
ASR Result: so and and uh i've  | Latency:  0.24776101112365723
ASR Result: so and and uh i've  | Latency:  0.18369007110595703
ASR Result: so and and uh i've  | Latency:  0.26035118103027344
ASR Result: so and and uh i've i've  | Latency:  0.16723346710205078
ASR Result: so and and uh i've i've been  | Latency:  0.2414839267730713
ASR Result: so and and uh i've i've been there  | Latency:  0.16334891319274902
ASR Result: so and and uh i've i've been there  | Latency:  0.18703317642211914
ASR Result: so and and uh i've i've been there  | Latency:  0.1915264129638672
ASR Result: so and and uh i've i've been there and  | Latency:  0.24677014350891113
ASR Result: so and and uh i've i've been there and i  | Latency:  0.20380640029907227
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.14623403549194336
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.21556949615478516
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.1490626335144043
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.22597622871398926
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.17865586280822754
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.21630215644836426
ASR Result: so and and uh i've i've been there and i think  | Latency:  0.13410425186157227
ASR Result: so and and uh i've i've been there and i think and  | Latency:  0.2036609649658203
ASR Result: so and and uh i've i've been there and i think and i've  | Latency:  0.1458890438079834
ASR Result: so and and uh i've i've been there and i think and i've gone  | Latency:  0.16721820831298828
ASR Result: so and and uh i've i've been there and i think and i've gone  | Latency:  0.23011112213134766
ASR Result: so and and uh i've i've been there and i think and i've gone i've  | Latency:  0.1382606029510498
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone  | Latency:  0.14971351623535156
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone  | Latency:  0.2041311264038086
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone  | Latency:  0.12879514694213867
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone  | Latency:  0.15483665466308594
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone  | Latency:  0.22347593307495117
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh  | Latency:  0.17711162567138672
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've  | Latency:  0.2246081829071045
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've  | Latency:  0.18642640113830566
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've  | Latency:  0.2234199047088623
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climb  | Latency:  0.14806914329528809
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed  | Latency:  0.16771173477172852
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some moun  | Latency:  0.17623066902160645
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountain  | Latency:  0.18710088729858398
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains  | Latency:  0.24191069602966309
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains  | Latency:  0.15426397323608398
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains  | Latency:  0.18233227729797363
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over  | Latency:  0.2554900646209717
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there  | Latency:  0.16675710678100586
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there  | Latency:  0.19673609733581543
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and  | Latency:  0.21679067611694336
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's  | Latency:  0.17042160034179688
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's  | Latency:  0.21717143058776855
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's  | Latency:  0.116424560546875
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just  | Latency:  0.13199925422668457
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just  | Latency:  0.1430675983428955
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just  | Latency:  0.16738009452819824
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just wonderful  | Latency:  0.20648479461669922
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just wonderful  | Latency:  0.12771344184875488
Sending EOS
ASR Result: so and and uh i've i've been there and i think and i've gone i've gone uh i've climbed some mountains over there and it's it's just wonderful  | Latency:  0.21398496627807617
ASR Result: END_OF_STREAM  | Latency:  0.15993857383728027
Avg latency: 0.1835063768155647
Processing audios/6.wav
ASR Result:   | Latency:  0.13567137718200684
ASR Result:   | Latency:  0.20826077461242676
ASR Result:   | Latency:  0.12705636024475098
ASR Result:   | Latency:  0.17122697830200195
ASR Result:   | Latency:  0.20368671417236328
ASR Result:   | Latency:  0.12351202964782715
ASR Result: probably  | Latency:  0.1765308380126953
ASR Result: probably like  | Latency:  0.23907065391540527
ASR Result: probably like  | Latency:  0.15503573417663574
ASR Result: probably like fiber  | Latency:  0.2232673168182373
ASR Result: probably like fiber  | Latency:  0.17316532135009766
ASR Result: probably like fiber six  | Latency:  0.2282421588897705
ASR Result: probably like fiber six  | Latency:  0.16264963150024414
ASR Result: probably like fiber six  | Latency:  0.24365496635437012
ASR Result: probably like fiber six  | Latency:  0.18977713584899902
ASR Result: probably like fiber six  | Latency:  0.22652673721313477
ASR Result: probably like fiber six couple  | Latency:  0.1528007984161377
ASR Result: probably like fiber six couple  | Latency:  0.21476364135742188
ASR Result: probably like fiber six couple social  | Latency:  0.17238211631774902
ASR Result: probably like fiber six couple social work  | Latency:  0.27396512031555176
ASR Result: probably like fiber six couple social work class  | Latency:  0.18668556213378906
ASR Result: probably like fiber six couple social work classes  | Latency:  0.19141864776611328
ASR Result: probably like fiber six couple social work classes  | Latency:  0.2588832378387451
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.21570062637329102
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.10921645164489746
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.1423051357269287
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.21159672737121582
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.11153531074523926
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.14326047897338867
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.16693115234375
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.23944473266601562
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.18719840049743652
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.2669041156768799
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.19892621040344238
ASR Result: probably like fiber six couple social work classes and um families  | Latency:  0.11833596229553223
ASR Result: probably like fiber six couple social work classes and um families  | Latency:  0.1896839141845703
ASR Result: probably like fiber six couple social work classes and um families in  | Latency:  0.2594778537750244
ASR Result: probably like fiber six couple social work classes and um families in ethn  | Latency:  0.18834710121154785
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.28888535499572754
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.22016572952270508
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.16177105903625488
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.6069025993347168
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.5394408702850342
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.4801182746887207
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that  | Latency:  0.43840789794921875
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i  | Latency:  0.40019989013671875
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm work  | Latency:  0.3761556148529053
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.3582143783569336
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.3164832592010498
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.292086124420166
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.2552483081817627
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on this  | Latency:  0.21909737586975098
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on this quarter  | Latency:  0.13956809043884277
Sending EOS
