Processing audios/6.wav
ASR Result:   | Latency:  0.08836102485656738
ASR Result:   | Latency:  0.19326567649841309
ASR Result:   | Latency:  0.19277238845825195
ASR Result:   | Latency:  0.17916369438171387
ASR Result:   | Latency:  0.15423035621643066
ASR Result:   | Latency:  0.1396949291229248
ASR Result: probably  | Latency:  0.11574077606201172
ASR Result: probably like  | Latency:  0.1057136058807373
ASR Result: probably like  | Latency:  0.08835506439208984
ASR Result: probably like fiber  | Latency:  0.18983840942382812
ASR Result: probably like fiber  | Latency:  0.16336917877197266
ASR Result: probably like fiber six  | Latency:  0.15831351280212402
ASR Result: probably like fiber six  | Latency:  0.1294257640838623
ASR Result: probably like fiber six  | Latency:  0.12664008140563965
ASR Result: probably like fiber six  | Latency:  0.12098288536071777
ASR Result: probably like fiber six  | Latency:  0.09982490539550781
ASR Result: probably like fiber six couple  | Latency:  0.09217500686645508
ASR Result: probably like fiber six couple  | Latency:  0.19098782539367676
ASR Result: probably like fiber six couple social  | Latency:  0.1876368522644043
ASR Result: probably like fiber six couple social work  | Latency:  0.15386366844177246
ASR Result: probably like fiber six couple social work class  | Latency:  0.13669228553771973
ASR Result: probably like fiber six couple social work classes  | Latency:  0.12443232536315918
ASR Result: probably like fiber six couple social work classes  | Latency:  0.11623287200927734
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.13228178024291992
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.14694809913635254
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.1639268398284912
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.16222381591796875
ASR Result: probably like fiber six couple social work classes and  | Latency:  0.16406631469726562
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.17435741424560547
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.17391610145568848
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.1758897304534912
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.16502761840820312
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.18709468841552734
ASR Result: probably like fiber six couple social work classes and um  | Latency:  0.2133464813232422
ASR Result: probably like fiber six couple social work classes and um families  | Latency:  0.10129070281982422
ASR Result: probably like fiber six couple social work classes and um families  | Latency:  0.12561774253845215
ASR Result: probably like fiber six couple social work classes and um families in  | Latency:  0.16596722602844238
ASR Result: probably like fiber six couple social work classes and um families in ethn  | Latency:  0.1719973087310791
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.18889665603637695
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.2454512119293213
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.17828083038330078
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.1873779296875
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.27455639839172363
ASR Result: probably like fiber six couple social work classes and um families in ethnicity  | Latency:  0.20969486236572266
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that  | Latency:  0.10889291763305664
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i  | Latency:  0.17839503288269043
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm work  | Latency:  0.2040848731994629
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.14092159271240234
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.1726539134979248
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.18487811088562012
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on  | Latency:  0.19738197326660156
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on this  | Latency:  0.09623122215270996
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on this quarter  | Latency:  0.10457539558410645
ASR Result: probably like fiber six couple social work classes and um families in ethnicity that i'm working on this quarter  | Latency:  0.12740731239318848
Sending EOS
ASR Result: END_OF_STREAM  | Latency:  0.12593483924865723
Avg latency: 0.15631418228149413
Processing audios/2.wav
ASR Result:   | Latency:  0.11886334419250488
ASR Result:   | Latency:  0.5046389102935791
ASR Result:   | Latency:  0.42516088485717773
ASR Result: so  | Latency:  0.36661577224731445
ASR Result: so  | Latency:  0.2917454242706299
ASR Result: so and  | Latency:  0.20460772514343262
ASR Result: so and and  | Latency:  0.10729122161865234
ASR Result: so and and i  | Latency:  0.1370680332183838
ASR Result: so and and i want to  | Latency:  0.1571671962738037
ASR Result: so and and i want to go  | Latency:  0.19876766204833984
ASR Result: so and and i want to go  | Latency:  0.11784887313842773
ASR Result: so and and i want to go if  | Latency:  0.14350104331970215
ASR Result: so and and i want to go if  | Latency:  0.15392684936523438
ASR Result: so and and i want to go if  | Latency:  0.15849876403808594
ASR Result: so and and i want to go if i do  | Latency:  0.15546846389770508
ASR Result: so and and i want to go if i do go  | Latency:  0.1503465175628662
ASR Result: so and and i want to go if i do go to  | Latency:  0.16460800170898438
ASR Result: so and and i want to go if i do go to sco  | Latency:  0.19968509674072266
ASR Result: so and and i want to go if i do go to sco  | Latency:  0.10033178329467773
ASR Result: so and and i want to go if i do go to sco you know  | Latency:  0.1275770664215088
ASR Result: so and and i want to go if i do go to sco you know i  | Latency:  0.1434924602508545
ASR Result: so and and i want to go if i do go to sco you know i just vis  | Latency:  0.15803313255310059
ASR Result: so and and i want to go if i do go to sco you know i just visit  | Latency:  0.17497801780700684
ASR Result: so and and i want to go if i do go to sco you know i just visit some  | Latency:  0.1684880256652832
ASR Result: so and and i want to go if i do go to sco you know i just visit some cast  | Latency:  0.19198846817016602
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles  | Latency:  0.21704864501953125
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and  | Latency:  0.12586641311645508
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.13167691230773926
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.13834452629089355
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.14058375358581543
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.1362614631652832
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff i think  | Latency:  0.13884305953979492
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff i think  | Latency:  0.15753173828125
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff i think that'd  | Latency:  0.18027830123901367
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff i think that'd be  | Latency:  0.19153070449829102
