Processing audios/2.wav
ASR Result:   | Latency:  0.08128142356872559
ASR Result:   | Latency:  0.07349681854248047
ASR Result:   | Latency:  0.08193325996398926
ASR Result: so  | Latency:  0.0759131908416748
ASR Result: so  | Latency:  0.08182907104492188
ASR Result: so and  | Latency:  0.07982659339904785
ASR Result: so and and  | Latency:  0.08456969261169434
ASR Result: so and and i  | Latency:  0.08003115653991699
ASR Result: so and and i want to  | Latency:  0.08101391792297363
ASR Result: so and and i want to go  | Latency:  0.07952570915222168
ASR Result: so and and i want to go  | Latency:  0.08708882331848145
ASR Result: so and and i want to go if  | Latency:  0.08523941040039062
ASR Result: so and and i want to go if  | Latency:  0.0791771411895752
ASR Result: so and and i want to go if  | Latency:  0.07709670066833496
ASR Result: so and and i want to go if i do  | Latency:  0.08665084838867188
ASR Result: so and and i want to go if i do go  | Latency:  0.08474349975585938
ASR Result: so and and i want to go if i do go to  | Latency:  0.08486151695251465
ASR Result: so and and i want to go if i do go to sco  | Latency:  0.08097219467163086
ASR Result: so and and i want to go if i do go to sco  | Latency:  0.07738280296325684
ASR Result: so and and i want to go if i do go to sco you know  | Latency:  0.0886545181274414
ASR Result: so and and i want to go if i do go to sco you know i  | Latency:  0.16796588897705078
ASR Result: so and and i want to go if i do go to sco you know i just vis  | Latency:  0.08044123649597168
ASR Result: so and and i want to go if i do go to sco you know i just visit  | Latency:  0.16386175155639648
ASR Result: so and and i want to go if i do go to sco you know i just visit some  | Latency:  0.16786813735961914
ASR Result: so and and i want to go if i do go to sco you know i just visit some cast  | Latency:  0.16756176948547363
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles  | Latency:  0.14729905128479004
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and  | Latency:  0.11728072166442871
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.08635282516479492
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.13571667671203613
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.10238194465637207
ASR Result: so and and i want to go if i do go to sco you know i just visit some castles and stuff  | Latency:  0.14072895050048828
